Student ID,SSN,First Name,Last Name,Email,Major,Program,Academic Standing,GPA,Credit Hours,Enrollment Status
STU100000,102341234,James,Smith,james.smith@email.com,Business Administration,Bachelor of Business Administration,Good Standing,3.25,60,Full-time
STU100001,987652345,Mary,Johnson,mary.johnson@email.com,Computer Science,Bachelor of Science in Computer Science,Academic Warning,2.45,45,Full-time
STU100002,456783456,John,Williams,john.williams@email.com,Nursing,Bachelor of Science in Nursing,Good Standing,3.67,75,Full-time
STU100003,789124567,Patricia,Brown,patricia.brown@email.com,Engineering,Bachelor of Engineering,Good Standing,3.12,90,Full-time
STU100004,321655678,Robert,Jones,robert.jones@email.com,Psychology,Bachelor of Arts in Psychology,Dean's List,3.85,120,Full-time
STU100005,147256789,Jennifer,Garcia,jennifer.garcia@email.com,Education,Bachelor of Education,Good Standing,3.34,36,Part-time
STU100006,258367890,Michael,Miller,michael.miller@email.com,Liberal Arts,Bachelor of Arts,Academic Probation,1.89,24,Part-time
STU100007,369148901,Linda,Davis,linda.davis@email.com,Criminal Justice,Bachelor of Science in Criminal Justice,Good Standing,3.01,48,Full-time
STU100008,741859012,William,Rodriguez,william.rodriguez@email.com,Biology,Bachelor of Science in Biology,Academic Warning,2.23,72,Full-time
STU100009,852960123,Elizabeth,Martinez,elizabeth.martinez@email.com,Marketing,Bachelor of Business in Marketing,Good Standing,3.56,84,Full-time
STU100010,963071234,David,Hernandez,david.hernandez@email.com,Business Administration,Bachelor of Business Administration,Dean's List,3.78,96,Full-time
STU100011,174182345,Barbara,Lopez,barbara.lopez@email.com,English,Bachelor of Arts in English,Good Standing,3.23,105,Full-time
STU100012,285293456,Richard,Gonzalez,richard.gonzalez@email.com,Computer Science,Bachelor of Science in Computer Science,Good Standing,3.45,54,Full-time
STU100013,396304567,Susan,Wilson,susan.wilson@email.com,History,Bachelor of Arts in History,Academic Warning,2.67,66,Full-time
STU100014,407415678,Joseph,Anderson,joseph.anderson@email.com,Mathematics,Bachelor of Science in Mathematics,Good Standing,3.89,42,Full-time
STU100015,518526789,Jessica,Thomas,jessica.thomas@email.com,Communications,Bachelor of Arts in Communications,Good Standing,3.12,78,Full-time
STU100016,629637890,Thomas,Taylor,thomas.taylor@email.com,Art,Bachelor of Fine Arts,Dean's List,3.91,30,Part-time
STU100017,730748901,Sarah,Moore,sarah.moore@email.com,Music,Bachelor of Music,Good Standing,3.34,87,Full-time
STU100018,841859012,Christopher,Jackson,christopher.jackson@email.com,Social Work,Bachelor of Social Work,Academic Probation,1.75,39,Part-time
STU100019,952960123,Karen,Martin,karen.martin@email.com,Accounting,Bachelor of Science in Accounting,Good Standing,3.67,93,Full-time
STU100020,163071234,Charles,Lee,charles.lee@email.com,Pre-Med,Bachelor of Science - Pre-Medical,Academic Warning,2.34,57,Full-time
STU100021,274182345,Nancy,Perez,nancy.perez@email.com,Hospitality Management,Bachelor of Science in Hospitality,Good Standing,3.23,33,Part-time
STU100022,385293456,Daniel,Thompson,daniel.thompson@email.com,Engineering,Bachelor of Engineering,Good Standing,3.45,69,Full-time
STU100023,496304567,Lisa,White,lisa.white@email.com,Nursing,Bachelor of Science in Nursing,Dean's List,3.82,81,Full-time
STU100024,507415678,Matthew,Harris,matthew.harris@email.com,Psychology,Bachelor of Arts in Psychology,Good Standing,3.01,51,Full-time
STU100025,618526789,Betty,Sanchez,betty.sanchez@email.com,Business Administration,Bachelor of Business Administration,Academic Probation,1.67,63,Full-time
STU100026,729637890,Anthony,Clark,anthony.clark@email.com,Computer Science,Bachelor of Science in Computer Science,Good Standing,3.78,75,Full-time
STU100027,830748901,Helen,Ramirez,helen.ramirez@email.com,Education,Bachelor of Education,Academic Warning,2.45,27,Part-time
STU100028,941859012,Mark,Lewis,mark.lewis@email.com,Liberal Arts,Bachelor of Arts,Good Standing,3.12,87,Full-time
STU100029,152960123,Sandra,Robinson,sandra.robinson@email.com,Criminal Justice,Bachelor of Science in Criminal Justice,Good Standing,3.56,99,Full-time
STU100030,263071234,Donald,Walker,donald.walker@email.com,Biology,Bachelor of Science in Biology,Dean's List,3.89,21,Part-time
STU100031,374182345,Donna,Young,donna.young@email.com,Marketing,Bachelor of Business in Marketing,Academic Warning,2.23,111,Full-time
STU100032,485293456,Steven,Allen,steven.allen@email.com,English,Bachelor of Arts in English,Good Standing,3.34,45,Full-time
STU100033,596304567,Carol,King,carol.king@email.com,History,Bachelor of Arts in History,Good Standing,3.67,57,Full-time
STU100034,607415678,Paul,Wright,paul.wright@email.com,Mathematics,Bachelor of Science in Mathematics,Academic Probation,1.89,69,Full-time
STU100035,718526789,Ruth,Scott,ruth.scott@email.com,Communications,Bachelor of Arts in Communications,Good Standing,3.23,33,Part-time
